Sender_Timestamp                                         Forwarder_Timestamp                                         Receiver_Timestamp
NEW RUN ON: 2025-02-18 14:39:50.127.027491689
Sender_Timestamp: 2025-02-18 14:39:49.709.709881938  Forwarder_Timestamp: 2025-02-18 14:39:49.615.615001349  Receiver_Timestamp: 2025-02-18 14:39:50.660.060297262Message:  Mode: Not connected10
Sender_Timestamp: 2025-02-18 14:39:51.709.709889388  Forwarder_Timestamp: 2025-02-18 14:39:51.716.716613588  Receiver_Timestamp: 2025-02-18 14:39:52.760.060339917Message:  Mode: Not connected8≈ÚèUU
Sender_Timestamp: 2025-02-18 14:39:52.709.709890666  Forwarder_Timestamp: 2025-02-18 14:39:52.610.610239421  Receiver_Timestamp: 2025-02-18 14:39:53.653.053906948Message:  Mode: Not connected71ÛèUU
Sender_Timestamp: 2025-02-18 14:39:53.709.709893401  Forwarder_Timestamp: 2025-02-18 14:39:53.610.610771608  Receiver_Timestamp: 2025-02-18 14:39:54.660.060733094Message:  Mode: Not connected61ÛèUU
Sender_Timestamp: 2025-02-18 14:39:54.709.709903949  Forwarder_Timestamp: 2025-02-18 14:39:54.613.613160514  Receiver_Timestamp: 2025-02-18 14:39:55.656.056900437Message:  Mode: Not connected51ÛèUU
Sender_Timestamp: 2025-02-18 14:39:55.709.709883612  Forwarder_Timestamp: 2025-02-18 14:39:55.612.612019107  Receiver_Timestamp: 2025-02-18 14:39:56.657.057398353Message:  Mode: Not connected41ÛèUU
Sender_Timestamp: 2025-02-18 14:39:56.709.709890202  Forwarder_Timestamp: 2025-02-18 14:39:56.610.610856190  Receiver_Timestamp: 2025-02-18 14:39:57.655.055799655Message:  Mode: Not connected31ÛèUU
Sender_Timestamp: 2025-02-18 14:39:57.709.709888771  Forwarder_Timestamp: 2025-02-18 14:39:57.609.609420617  Receiver_Timestamp: 2025-02-18 14:39:58.653.053152988Message:  Mode: Not connected21ÛèUU
NEW RUN ON: 2025-02-18 14:42:10.905.005294136
Sender_Timestamp: 2025-02-18 14:42:17.855.855361855  Forwarder_Timestamp: 2025-02-18 14:42:22.345.345605614  Receiver_Timestamp: 2025-02-18 14:42:23.400.000679131 Message:  Mode: Not connected28evice
Sender_Timestamp: 2025-02-18 14:42:19.855.855374097  Forwarder_Timestamp: 2025-02-18 14:42:24.344.344785717  Receiver_Timestamp: 2025-02-18 14:42:25.498.098046422 Message:  Mode: Not connected26evice
Sender_Timestamp: 2025-02-18 14:42:21.855.855364933  Forwarder_Timestamp: 2025-02-18 14:42:26.348.348776081  Receiver_Timestamp: 2025-02-18 14:42:27.393.093080796 Message:  Mode: Not connected24:kUce
